gp_idx,reward_type,final_position,total_time,points,changed_compound
0,mix,7,5684.496886660374,6,True
0,mix,20,5802.936421214529,0,True
0,mix,9,5666.247779763119,2,True
0,mix,6,5675.63641790722,8,True
0,mix,5,5651.159376787922,10,True
0,mix,10,5697.6219119369625,1,True
0,mix,6,5664.6665849833025,8,True
0,mix,8,5683.891978508314,4,True
0,mix,4,5645.180002924174,12,True
0,mix,6,5643.855140886734,8,True
0,mix,8,5698.2027686188885,4,True
0,mix,9,5674.328721682621,2,True
0,mix,3,5618.011384095441,15,True
0,mix,6,5635.756066937172,8,True
0,mix,6,5660.8219918656605,8,True
0,mix,7,5654.020170649135,6,True
0,mix,6,5635.974857370728,8,True
0,mix,8,5692.025880115223,4,True
0,mix,4,5610.160419676067,12,True
0,mix,4,5629.02253529195,12,True
0,mix,5,5694.790677402894,10,True
0,mix,15,5727.810446003545,0,True
0,mix,7,5695.293156372003,6,True
0,mix,9,5692.063747317265,2,True
0,mix,4,5621.429203476993,12,True
0,mix,4,5690.40263839747,12,True
0,mix,5,5668.586431454359,10,True
0,mix,2,5657.560761981052,18,True
0,mix,8,5689.561643130431,4,True
0,mix,6,5696.23484761823,8,True
0,mix,6,5645.015659790833,8,True
0,mix,9,5678.932262749371,2,True
0,mix,7,5674.541506363516,6,True
0,mix,7,5662.645025568772,6,True
0,mix,14,5723.239957833291,0,True
0,mix,7,5682.938113540534,6,True
0,mix,5,5714.479991581111,10,True
0,mix,6,5653.678109167475,8,True
0,mix,4,5644.054880230452,12,True
0,mix,5,5635.968064380143,10,True
0,mix,6,5647.190450758796,8,True
0,mix,6,5674.288899394854,8,True
0,mix,13,5705.581596919649,0,True
0,mix,4,5616.590795545668,12,True
0,mix,5,5656.20843941998,10,True
0,mix,6,5658.002947293811,8,True
0,mix,9,5676.350535557104,2,True
0,mix,4,5629.564892398853,12,True
0,mix,1,5579.372868390844,25,True
0,mix,13,5748.579546784705,0,True
0,mix,5,5635.174395022652,10,True
0,mix,2,5609.394893065477,18,True
0,mix,4,5640.970528704017,12,True
0,mix,6,5657.9804518465235,8,True
0,mix,6,5646.449677587714,8,True
0,mix,10,5708.3325886182165,1,True
0,mix,4,5684.678908488575,12,True
0,mix,2,5617.450035312866,18,True
0,mix,2,5633.974335941025,18,True
0,mix,5,5630.781284857606,10,True
0,mix,19,5747.741912026275,0,True
0,mix,10,5694.803571909598,1,True
0,mix,4,5634.708132595447,12,True
0,mix,8,5707.856803191338,4,True
0,mix,8,5683.997402604944,4,True
0,mix,5,5695.272211299344,10,True
0,mix,3,5609.74174021706,15,True
0,mix,4,5669.231070305688,12,True
0,mix,6,5642.643280691839,8,True
0,mix,2,5655.670061915969,18,True
0,mix,6,5648.390231090925,8,True
0,mix,8,5685.868407503047,4,True
0,mix,7,5655.585579788434,6,True
0,mix,6,5690.359489367174,8,True
0,mix,9,5752.19831665666,2,True
0,mix,2,5607.228927175028,18,True
0,mix,10,5728.2217647289135,1,True
0,mix,6,5695.17640960969,8,True
0,mix,12,5704.802062466237,0,True
0,mix,4,5648.990189941547,12,True
0,mix,6,5653.894538667603,8,True
0,mix,7,5669.507261005343,6,True
0,mix,2,5617.061418273894,18,True
0,mix,5,5642.183534577497,10,True
0,mix,9,5688.666099242095,2,True
0,mix,3,5674.774257747675,15,True
0,mix,11,5698.7346955778585,0,True
0,mix,9,5719.42006721333,2,True
0,mix,14,5757.570077150196,0,True
0,mix,5,5654.593204033858,10,True
0,mix,4,5640.664960424403,12,True
0,mix,5,5626.070130822926,10,True
0,mix,9,5682.763197868103,2,True
0,mix,3,5644.7608640551,15,True
0,mix,4,5675.811463024307,12,True
0,mix,7,5676.265476319251,6,True
0,mix,6,5655.631380981242,8,True
0,mix,5,5639.450738320456,10,True
0,mix,3,5644.384576103778,15,True
0,mix,11,5703.750673788818,0,True
0,mix,4,5689.36080927566,12,True
0,mix,6,5629.292519895989,8,True
0,mix,5,5662.499023973303,10,True
0,mix,8,5677.0171366429295,4,True
0,mix,11,5710.989071300118,0,True
0,mix,1,5603.9316238226165,25,True
0,mix,1,5588.284829921474,25,True
0,mix,8,5725.308401120088,4,True
0,mix,12,5746.053788617454,0,True
0,mix,12,5700.24913081125,0,True
0,mix,3,5647.593697963312,15,True
0,mix,7,5659.075545309628,6,True
0,mix,4,5641.282163190681,12,True
0,mix,3,5592.132804535786,15,True
0,mix,2,5588.197604762489,18,True
0,mix,3,5644.469884125648,15,True
0,mix,6,5663.35121230044,8,True
0,mix,4,5631.99892791052,12,True
0,mix,5,5609.72138163909,10,True
0,mix,6,5665.128457650606,8,True
0,mix,5,5621.619439646304,10,True
0,mix,5,5651.906550564355,10,True
0,mix,4,5657.878488264422,12,True
0,mix,7,5652.7738919101275,6,True
0,mix,7,5638.0770760957585,6,True
